Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,0.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2100,2300,2200,04 Jan 2019,2019,Jan,4,2019-01-04
1,1.0,1.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2300,2500,2400,05 Jan 2019,2019,Jan,5,2019-01-05
2,2.0,2.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2300,2500,2400,14 Jan 2019,2019,Jan,14,2019-01-14
3,3.0,3.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2300,2500,2400,19 Jan 2019,2019,Jan,19,2019-01-19
4,4.0,4.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2300,2500,2400,22 Jan 2019,2019,Jan,22,2019-01-22
5,5.0,5.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2400,2500,2500,10 Jan 2019,2019,Jan,10,2019-01-10
6,6.0,6.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2410,2500,2450,24 Jan 2019,2019,Jan,24,2019-01-24
7,7.0,7.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2425,2600,2500,21 Dec 2018,2018,Dec,21,2018-12-21
8,8.0,8.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2475,2475,2475,21 Feb 2019,2019,Feb,21,2019-02-21
9,9.0,9.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2600,2600,2600,01 Apr 2019,2019,Apr,1,2019-04-01
10,10.0,10.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2600,2600,2600,23 Mar 2019,2019,Mar,23,2019-03-23
11,11.0,11.0,Haridwar,Roorkee,Sugar,Chini,FAQ,3200,3500,3350,05 Sep 2018,2018,Sep,5,2018-09-05
12,12.0,12.0,Haridwar,Roorkee,Sugar,Chini,FAQ,2550,2650,2600,06 Dec 2019,2019,Dec,6,2019-12-06
13,13.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2100,2300,2200,04 Jan 2019,2019,Jan,4,2019-01-04
14,14.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2300,2500,2400,05 Jan 2019,2019,Jan,5,2019-01-05
15,15.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2300,2500,2400,14 Jan 2019,2019,Jan,14,2019-01-14
16,16.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2300,2500,2400,19 Jan 2019,2019,Jan,19,2019-01-19
17,17.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2300,2500,2400,22 Jan 2019,2019,Jan,22,2019-01-22
18,18.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2400,2500,2500,10 Jan 2019,2019,Jan,10,2019-01-10
19,19.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2410,2500,2450,24 Jan 2019,2019,Jan,24,2019-01-24
20,20.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2425,2600,2500,21 Dec 2018,2018,Dec,21,2018-12-21
21,21.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2475,2475,2475,21 Feb 2019,2019,Feb,21,2019-02-21
22,22.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2600,2600,2600,01 Apr 2019,2019,Apr,1,2019-04-01
23,23.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,2600,2600,2600,23 Mar 2019,2019,Mar,23,2019-03-23
24,24.0,,Haridwar,Roorkee,Sugar,Chini,FAQ,3200,3500,3350,05 Sep 2018,2018,Sep,5,2018-09-05
25,,,Haridwar,Roorkee,Sugar,Chini,FAQ,2550,2650,2600,06 Dec 2019,2019,Dec,6,2019-12-06
