0,1,2,3,4,5,6,7,8,9
1,Delhi,Najafgarh,Rice,Basumathi,FAQ,1800,1800,1800,17 Jan 2017
2,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,10 Aug 2017
3,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,11 Feb 2017
4,Delhi,Najafgarh,Rice,Basumathi,FAQ,2200,2200,2200,23 May 2017
5,Delhi,Najafgarh,Rice,Other,FAQ,1500,1500,1500,03 Dec 2016
6,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,13 Jan 2017
7,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,18 Dec 2016
8,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,18 Nov 2016
9,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,21 Nov 2016
10,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,22 Dec 2016
11,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,23 Feb 2017
12,Delhi,Najafgarh,Rice,Other,FAQ,2800,2800,2800,20 Feb 2017
13,Delhi,Najafgarh,Rice,Parmal,FAQ,1700,2000,1850,25 Jun 2017
14,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,22 Apr 2017
15,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,27 Aug 2017
16,Delhi,Najafgarh,Rice,Parmal,FAQ,1820,1820,1820,27 Feb 2017
17,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,06 Oct 2016
18,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,06 Sep 2016
19,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,09 Jun 2017
20,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,10 Aug 2017
21,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,10 Mar 2017
22,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,12 Aug 2017
23,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,12 Jun 2017
24,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,13 Apr 2017
25,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,13 Jul 2017
26,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,14 Mar 2017
27,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,14 Oct 2016
28,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15 Jun 2017
29,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15 Nov 2016
30,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,16 Apr 2017
31,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,16 Feb 2017
32,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,17 Aug 2017
33,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,19 Aug 2017
34,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,19 Sep 2016
35,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,20 Feb 2017
36,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,21 May 2017
37,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,21 Oct 2016
38,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,22 Oct 2016
39,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,24 Aug 2017
40,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,24 Jul 2017
41,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,24 Mar 2017
42,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,25 Nov 2016
43,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,26 Mar 2017
44,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,26 Sep 2016
45,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,27 May 2017
46,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,27 Oct 2016
47,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,28 Apr 2017
48,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,28 Oct 2016
49,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,29 May 2017
50,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,29 Sep 2016
51,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2600,2300,15 May 2017
52,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,15 Sep 2016
53,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,16 Jul 2017
54,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,16 Sep 2016
55,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,27 Jul 2017
56,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,23 May 2017
57,Delhi,Najafgarh,Rice,Parmal,FAQ,2500,2500,2500,24 Jan 2017
58,Delhi,Najafgarh,Rice,Parmal,FAQ,3600,3600,3600,25 Mar 2017
59,Delhi,Narela,Rice,Other,FAQ,2000,2000,2000,05 Sep 2016
60,Delhi,Narela,Rice,Other,FAQ,3400,3400,3400,17 Jul 2017
61,Delhi,Narela,Rice,Other,FAQ,3500,3500,3500,11 May 2017
