Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,26 Feb 2021,2021,Feb,26,2021-02-26
1,1.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,27 Feb 2021,2021,Feb,27,2021-02-27
2,2.0,Imphal West,Imphal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10000,12000,11000,25 Feb 2021,2021,Feb,25,2021-02-25
3,3.0,Imphal West,Imphal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10000,12000,11000,26 Feb 2021,2021,Feb,26,2021-02-26
4,4.0,Imphal West,Imphal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10000,12000,11000,27 Feb 2021,2021,Feb,27,2021-02-27
5,5.0,Imphal East,Lamlong Bazaar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11000,12000,11500,25 Feb 2021,2021,Feb,25,2021-02-25
6,6.0,Imphal East,Lamlong Bazaar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11000,12000,11500,26 Feb 2021,2021,Feb,26,2021-02-26
7,7.0,Imphal East,Lamlong Bazaar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11000,12000,11500,27 Feb 2021,2021,Feb,27,2021-02-27
8,8.0,Thoubal,Thoubal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,25 Feb 2021,2021,Feb,25,2021-02-25
9,9.0,Thoubal,Thoubal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,26 Feb 2021,2021,Feb,26,2021-02-26
10,10.0,Thoubal,Thoubal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,27 Feb 2021,2021,Feb,27,2021-02-27
11,11.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,01 Apr 2022,2022,Apr,1,2022-04-01
12,12.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,01 Feb 2022,2022,Feb,1,2022-02-01
13,13.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,01 Mar 2022,2022,Mar,1,2022-03-01
14,14.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,01 Sep 2022,2022,Sep,1,2022-09-01
15,15.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,02 Feb 2022,2022,Feb,2,2022-02-02
16,16.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,02 Mar 2022,2022,Mar,2,2022-03-02
17,17.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,03 Feb 2022,2022,Feb,3,2022-02-03
18,18.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,03 Mar 2022,2022,Mar,3,2022-03-03
19,19.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,04 Apr 2022,2022,Apr,4,2022-04-04
20,20.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,04 Feb 2022,2022,Feb,4,2022-02-04
21,21.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,04 Mar 2022,2022,Mar,4,2022-03-04
22,22.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,05 Apr 2022,2022,Apr,5,2022-04-05
23,23.0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,05 Feb 2022,2022,Feb,5,2022-02-05
