,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,0,0,2900,02 Nov 2018,2018,Nov,2,2018-11-02
1,1.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,0,0,3500,11 Mar 2019,2019,Mar,11,2019-03-11
2,2.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,0,0,3870,03 Apr 2019,2019,Apr,3,2019-04-03
3,3.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3200,3740,3740,29 Jan 2019,2019,Jan,29,2019-01-29
4,4.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2650,2650,2650,30 Jan 2018,2018,Jan,30,2018-01-30
5,5.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2700,2700,2700,02 Dec 2017,2017,Dec,2,2017-12-02
6,6.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2770,2770,2770,11 Jan 2018,2018,Jan,11,2018-01-11
7,7.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2825,2825,2825,03 Feb 2018,2018,Feb,3,2018-02-03
8,8.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2850,3260,2850,24 Feb 2018,2018,Feb,24,2018-02-24
9,9.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2880,2880,2880,23 Jan 2018,2018,Jan,23,2018-01-23
10,10.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2900,2900,2900,16 Mar 2018,2018,Mar,16,2018-03-16
11,11.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2925,3070,3070,18 Jan 2018,2018,Jan,18,2018-01-18
12,12.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2955,2955,2955,02 Feb 2018,2018,Feb,2,2018-02-02
13,13.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2965,2965,2965,08 Dec 2017,2017,Dec,8,2017-12-08
14,14.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3000,3000,3000,31 Jan 2018,2018,Jan,31,2018-01-31
15,15.0,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3000,3100,3050,14 Mar 2018,2018,Mar,14,2018-03-14
